Restaurant,Borough,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
VEGAN GRILL,Manhattan,1726,2 AVENUE,10128,9176757381,Jewish/Kosher,8/10/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,22,B,8/10/2023,4/22/2026,Pre-permit (Operational) / Re-inspection,40.78020802,-73.95002986,108,05,015400,1050139,1015520051,MN32,POINT (-73.950029860276 40.780208022459)
STARBUCKS COFFEE,Queens,74-25,GRAND AVENUE,11373,7183351957,Coffee/Tea,4/17/2024,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,12,A,4/17/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.730261,-73.88723953,405,30,049900,4058131,4024920079,QN29,POINT (-73.887239532275 40.730261001933)
XINYANG RESTAURANT,Queens,136-21,41 AVENUE,11355,9293659995,Chinese,10/9/2025,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,46,C,10/9/2025,4/22/2026,Cycle Inspection / Re-inspection,40.75867154,-73.82907945,407,20,085300,4113577,4050190108,QN22,POINT (-73.829079451028 40.758671536159)
THINK SWEET CAFE,Brooklyn,546,KINGS HIGHWAY,11223,7186453473,Jewish/Kosher,10/28/2022,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11,A,10/28/2022,4/22/2026,Cycle Inspection / Re-inspection,40.60450547,-73.9693531,315,47,041402,3178595,3066810230,BK25,POINT (-73.969353101067 40.604505473734)
DONUT SHOPPE,Brooklyn,1503,AVENUE U,11229,3476120907,American,3/10/2025,Violations were cited in the following area(s).,02H,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2 hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,26,B,3/10/2025,4/22/2026,Cycle Inspection / Re-inspection,40.59885245,-73.95626256,315,48,058000,3198126,3073200048,BK44,POINT (-73.956262561043 40.598852449746)
BUND DUMPLING HOUSE,Queens,25-08,BROADWAY,11106,7189715465,Chinese,8/27/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,37,C,8/27/2025,4/22/2026,Cycle Inspection / Re-inspection,40.76329699,-73.92821353,401,22,005300,4007156,4005800020,QN70,POINT (-73.928213528694 40.763296986965)
LE PAIN QUOTIDIEN,Manhattan,2,WEST   69 STREET,10023,3474356680,French,9/12/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,19,B,9/12/2024,4/22/2026,Pre-permit (Operational) / Re-inspection,40.77438687,-73.97765821,107,06,015300,1079280,1011210036,MN14,POINT (-73.977658206735 40.774386866316)
BIEN CUIT,Brooklyn,721,FRANKLIN AVENUE,11238,3473651656,Bakery Products/Desserts,1/31/2024,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,11,A,1/31/2024,4/22/2026,Cycle Inspection / Re-inspection,40.67386756,-73.9568008,308,35,021900,3031399,3012380010,BK61,POINT (-73.956800798793 40.673867556004)
BLUESTONE LANE,Manhattan,30,HUDSON YARDS,10001,9176530633,Coffee/Tea,4/4/2024,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,49,C,4/4/2024,4/22/2026,Cycle Inspection / Re-inspection,40.75371004,-73.99977983,104,03,009900,1088961,1007027501,MN13,POINT (-73.999779827939 40.753710037499)
LALIKO STORIES OF GEORGIA,Manhattan,80,CARMINE STREET,10014,9173883166,Eastern European,3/12/2026,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13,A,3/12/2026,4/22/2026,Pre-permit (Operational) / Re-inspection,40.72966033,-74.00458225,102,03,006700,1066793,1005287501,MN23,POINT (-74.004582249405 40.729660334606)
ONE CUP TEA,Manhattan,124A,HESTER STREET,10002,6467057469,Coffee/Tea,12/2/2024,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,12/2/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.71705359,-73.99475847,103,01,001600,1003912,1003030020,MN27,POINT (-73.994758469144 40.717053592229)
TO STEKI,Queens,20-14,FRANCIS LEWIS BOULEVARD,11357,9175637273,Greek,10/7/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,12,A,10/7/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.77996098,-73.80238761,407,19,101700,4110316,4048760001,QN47,POINT (-73.802387614029 40.779960976523)
APPLE GOURMET,Manhattan,225,BROADWAY,10007,2127863336,American,12/2/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,37,C,12/2/2022,4/22/2026,Cycle Inspection / Re-inspection,40.71186306,-74.00821698,101,01,002100,1001241,1000880018,MN24,POINT (-74.008216981364 40.711863059986)
KOFEE,Bronx,2413,3 AVENUE,10451,2034247631,Coffee/Tea,7/21/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,25,B,7/21/2025,4/22/2026,Pre-permit (Operational) / Re-inspection,40.80834833,-73.93100406,201,08,005100,2098987,2023190109,BX39,POINT (-73.931004061248 40.808348325003)
FOTIA MEDITERRANEAN,Manhattan,127,EAST   60 STREET,10022,2126637374,Mediterranean,5/6/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,11,A,5/6/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.76304604,-73.96817164,108,04,011402,1041918,1013950012,MN40,POINT (-73.968171635011 40.763046038626)
CUT BY WOLFGANG PUCK,Manhattan,99,CHURCH STREET,10007,6462388405,Steakhouse,8/13/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,11,A,8/13/2024,4/22/2026,Cycle Inspection / Re-inspection,40.71294166,-74.00947962,101,01,002100,1089428,1001237502,MN24,POINT (-74.009479621518 40.712941656837)
CAPTAIN'S CAFE / CAPTAIN'S BAR & GRILL,Manhattan,18,EAST   33 STREET,10016,2127790003,Mediterranean,10/19/2023,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,10,A,10/19/2023,4/22/2026,Cycle Inspection / Re-inspection,40.74734383,-73.98406252,105,04,007400,1017029,1008620063,MN17,POINT (-73.984062515443 40.747343830615)
MILL BASIN KOSHER DELI,Brooklyn,5823,AVENUE T,11234,7182414910,Jewish/Kosher,11/20/2025,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,10,A,11/20/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.61531418,-73.91841052,318,46,068800,3236236,3083800002,BK58,POINT (-73.918410519092 40.615314177459)
ELITE PASTRIES CAFE,Queens,47-36,BELL BOULEVARD,11361,7184234400,Bakery Products/Desserts,12/13/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,12/13/2022,4/22/2026,Cycle Inspection / Initial Inspection,40.75638939,-73.7674742,411,19,144700,4157334,4073300038,QN46,POINT (-73.76747420196 40.756389387545)
ANDREW'S DINER,Staten Island,4160,HYLAN BOULEVARD,10308,9179488544,American,6/14/2024,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,12,A,6/14/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.53848791,-74.14920068,503,51,015603,5068355,5053110001,SI54,POINT (-74.149200681007 40.538487908867)
COFFEE TIME,Brooklyn,5507,13 AVENUE,11219,9172444650,Mexican,5/9/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,5/9/2024,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.63154837,-73.99571994,312,44,024000,3139757,3056840001,BK88,POINT (-73.995719938254 40.631548368953)
SVETA,Manhattan,64,CARMINE STREET,10014,3474186754,Russian,11/15/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,11/15/2022,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.72975641,-74.00425392,102,03,006700,1008408,1005280076,MN23,POINT (-74.004253921155 40.729756414044)
CASA MEXICANA,Manhattan,898,AMSTERDAM AVENUE,10025,2122223151,Mexican,2/4/2020,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12,A,2/4/2020,4/22/2026,Cycle Inspection / Initial Inspection,40.79903484,-73.96674213,107,07,019100,1056566,1018750036,MN12,POINT (-73.966742129654 40.799034839169)
KOI ASIAN CUISINE,Queens,70-18,GRAND AVENUE,11378,9085900472,Japanese,8/26/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,11,A,8/26/2025,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.72762831,-73.89248277,405,30,049302,4062726,4027970011,QN30,POINT (-73.892482766218 40.727628314539)
BROOKSIDE MARKET,Queens,43-15,QUEENS BOULEVARD,11104,7188061902,New American,11/13/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25,B,11/13/2024,4/22/2026,Cycle Inspection / Re-inspection,40.74345603,-73.92124831,402,26,018300,4001939,4001620044,QN31,POINT (-73.921248310681 40.743456029657)
HING WONG,Brooklyn,7922,5 AVENUE,11209,7187486688,Chinese,6/18/2025,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13,A,6/18/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.62628419,-74.02395636,310,47,013600,3150917,3059800050,BK31,POINT (-74.023956361421 40.62628419391)
MCC THEATER,Manhattan,511,WEST   52 STREET,10019,2125825472,American,3/27/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,10,A,3/27/2025,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.76640427,-73.99198926,104,03,013500,1087777,1010817502,MN15,POINT (-73.991989257635 40.766404266098)
THE GYRO PROJECT,Manhattan,593,1 AVENUE,10016,2129837474,Greek,3/25/2026,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required. Jewelry worn on hands or arms. Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,12,A,3/25/2026,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.74367764,-73.97359417,106,02,007000,1081680,1009390037,MN20,POINT (-73.973594172604 40.743677641619)
CANAVE,Manhattan,4716,BROADWAY,10040,6468500158,Latin American,10/4/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,10/4/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.86449078,-73.92909088,112,10,028700,1064222,1021750027,MN35,POINT (-73.929090880627 40.864490781043)
APHRODITES SWEETS,Queens,20-07,FRANCIS LEWIS BOULEVARD,11357,7182241774,Bakery Products/Desserts,9/28/2023,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,8,A,9/28/2023,4/22/2026,Cycle Inspection / Re-inspection,40.78003788,-73.80241627,407,19,101700,4128809,4057450002,QN47,POINT (-73.802416271481 40.780037879146)
ROCKAWAY PLAZA,Queens,160-45,ROCKAWAY BOULEVARD,11434,7185287675,American,11/14/2025,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,7,A,11/14/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.66347293,-73.77704126,413,31,030600,4430506,4132790001,QN03,POINT (-73.777041259991 40.663472926458)
MANNAN SWEETS & RESTAURANT,Queens,75-13,101 AVENUE,11416,7184806880,Bangladeshi,6/25/2025,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,9,A,6/25/2025,4/22/2026,Cycle Inspection / Re-inspection,40.67977325,-73.86180285,409,32,004200,4187906,4090470035,QN53,POINT (-73.861802853192 40.679773252038)
TRUE COLORS,Queens,79-15,ROOSEVELT AVENUE,11372,9174434360,Latin American,3/27/2026,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10,A,3/27/2026,4/22/2026,Cycle Inspection / Initial Inspection,40.74736838,-73.88648505,403,25,028500,4029974,4012900040,QN28,POINT (-73.886485048502 40.747368382852)
DE TANDOORI KNIGHT,Brooklyn,353,BROADWAY,11211,3477630203,Indian,3/20/2024,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,26,B,3/20/2024,4/22/2026,Cycle Inspection / Re-inspection,40.70767179,-73.95576167,301,34,052700,3063593,3024620021,BK73,POINT (-73.955761668345 40.707671791982)
OZONE PIZZERIA,Queens,96-15,LIBERTY AVENUE,11417,7188459555,Pizza,4/6/2026,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10,A,4/6/2026,4/22/2026,Cycle Inspection / Re-inspection,40.68068177,-73.84263818,410,32,004002,4189621,4091190035,QN56,POINT (-73.842638180373 40.680681768141)
#1 SABOR LATINO RESTAURANT,Bronx,4120,WHITE PLAINS ROAD,10466,7186532222,Latin American,11/23/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A,11/23/2022,4/22/2026,Cycle Inspection / Re-inspection,40.89117578,-73.85859114,212,11,042200,2063603,2048430045,BX44,POINT (-73.8585911415 40.891175783734)
TARTINERY LAB/ BEST DAMN BREAKFAST BURRITO,Brooklyn,630,FLUSHING AVENUE,11206,7187647175,American,5/8/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,5/8/2025,4/22/2026,Cycle Inspection / Re-inspection,40.69995593,-73.94844931,303,36,025700,3329628,3017200001,BK75,POINT (-73.948449306538 40.699955930336)
THE AVENUE,Queens,71-22,MYRTLE AVENUE,11385,3477253853,American,3/3/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,3/3/2022,4/22/2026,Cycle Inspection / Re-inspection,40.70204227,-73.87939987,405,32,062900,4090502,4037090032,QN19,POINT (-73.879399871087 40.702042271549)
DAVE'S HOT CHICKEN,Manhattan,1498,3 AVENUE,10028,6466329910,American,6/2/2025,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13,A,6/2/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.77779459,-73.95474363,108,05,014801,1047678,1015130037,MN40,POINT (-73.954743627621 40.777794593983)
T-SQUARED SOCIAL,Manhattan,7,EAST   42 STREET,10017,3328670810,American,9/4/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,9/4/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.75328567,-73.98041925,105,04,009400,1035347,1012770008,MN17,POINT (-73.980419249127 40.753285674015)
CROWN FRIED CHICKEN,Brooklyn,818,NOSTRAND AVENUE,11216,3474353450,Chicken,1/3/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,29,C,1/3/2023,4/22/2026,Cycle Inspection / Re-inspection,40.67063987,-73.95044031,308,35,031702,3032632,3012610033,BK61,POINT (-73.950440309249 40.670639869017)
LAS TRES,Queens,131-02,14 AVENUE,11356,7188889751,Latin American,6/13/2024,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,12,A,6/13/2024,4/22/2026,Cycle Inspection / Re-inspection,40.78610355,-73.83723495,407,19,094500,4098535,4040990023,QN49,POINT (-73.83723495235 40.786103547332)
AU CHEVAL DINER,Manhattan,79,WALKER STREET,10013,6143158682,American,10/24/2024,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,7,A,10/24/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.71823944,-74.00171354,101,01,003100,1002324,1001950009,MN24,POINT (-74.001713538626 40.718239439006)
BIG APPLE CAFE,Manhattan,891,AMSTERDAM AVENUE,10025,9737221147,American,11/21/2024,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,2,A,11/21/2024,4/22/2026,Cycle Inspection / Re-inspection,40.79883176,-73.96686503,107,07,018900,1055912,1018550050,MN12,POINT (-73.966865033869 40.798831763305)
GUSTITOS LATINO RESTAURANT,Bronx,2132,CRUGER AVENUE,10462,9293820428,Spanish,10/30/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,10/30/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.85417005,-73.86669149,211,13,022404,2048796,2042880035,BX49,POINT (-73.866691485324 40.854170045234)
AKINO/ TEAZZI TEA SHOP,Queens,82-80,BROADWAY,11373,7187798280,Japanese,7/14/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,36,C,7/14/2025,4/22/2026,Cycle Inspection / Re-inspection,40.74149406,-73.88056236,404,25,048500,4439095,4015350095,QN50,POINT (-73.880562364948 40.741494063364)
SAL Y PIMIENTA,Queens,81-10,ROOSEVELT AVENUE,11372,9174151449,Latin American,2/20/2025,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,61,C,2/20/2025,4/22/2026,Cycle Inspection / Re-inspection,40.74754222,-73.88464775,404,25,026901,4036863,4014920005,QN29,POINT (-73.884647746901 40.747542215303)
"CITY ISLAND DINER , SNUG BAR",Bronx,304,CITY ISLAND AVENUE,10464,7188859559,American,11/26/2025,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,10,A,11/26/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.84704704,-73.78640676,210,13,051600,2098688,2056430061,BX10,POINT (-73.786406764151 40.847047038568)
EAST COAST STREET TACOS,Brooklyn,521,STANLEY AVENUE,11207,9175043285,Tex-Mex,1/6/2025,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,1/6/2025,4/22/2026,Cycle Inspection / Re-inspection,40.65712827,-73.88907559,305,42,110400,3097671,3043470030,BK82,POINT (-73.889075588719 40.657128266795)
KEUR AISHA SANTE YALLAH AFRICAN RESTAURANT,Bronx,1460,BOSTON ROAD,10460,3475677146,African,9/7/2023,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,11,A,9/7/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.83410527,-73.89510347,203,17,015300,2010261,2029640038,BX75,POINT (-73.895103470763 40.834105270432)
KING HUMMINGBIRD,Bronx,3377,BOSTON ROAD,10469,3474302652,Caribbean,1/7/2025,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,40,C,1/7/2025,4/22/2026,Cycle Inspection / Re-inspection,40.87513728,-73.8512162,212,12,038200,2059822,2047080001,BX44,POINT (-73.851216198964 40.875137276716)
LA FLOR DEL PARAISO,Queens,1715,CORNELIA STREET,11385,3476107646,Latin American,4/14/2025,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,19,B,4/14/2025,4/22/2026,Cycle Inspection / Re-inspection,40.70034574,-73.90545256,405,34,055100,4082752,4034610053,QN20,POINT (-73.905452560641 40.700345741758)
THE CONNECT BAR,Queens,160-02,JAMAICA AVENUE,11432,7187553394,Other,11/19/2025,Violations were cited in the following area(s).,28-06,Contract with a pest management professional not in place. Record of extermination activities not kept on premises.,Not Critical,12,A,11/19/2025,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.70377683,-73.79904371,412,27,044601,4215613,4101010001,QN61,POINT (-73.799043712501 40.703776829095)
LA NUEVA ESTRELLA BAR & RESTAURANT,Bronx,390,EAST  204 STREET,10467,7186534111,Latin American,8/28/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,27,B,8/28/2025,4/22/2026,Cycle Inspection / Re-inspection,40.87131968,-73.87703429,207,11,042500,2017896,2033310048,BX43,POINT (-73.877034289783 40.871319682722)
DUNKIN,Brooklyn,418,AVENUE P,11223,9174405842,Jewish/Kosher,10/3/2025,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9,A,10/3/2025,4/22/2026,Cycle Inspection / Re-inspection,40.6088951,-73.97213505,315,44,042200,3175919,3066330012,BK25,POINT (-73.972135052022 40.608895097682)
KFC,Brooklyn,1667,PITKIN AVENUE,11212,9295198218,Chicken,3/20/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,19,B,3/20/2025,4/22/2026,Cycle Inspection / Re-inspection,40.66952697,-73.91180483,316,41,092400,3080742,3034980060,BK81,POINT (-73.911804827937 40.66952697197)
DIVIN WINE BAR,Manhattan,170,2 AVENUE,10003,6469983036,American,12/29/2025,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,13,A,12/29/2025,4/22/2026,Pre-permit (Operational) / Initial Inspection,40.73020858,-73.98648406,103,02,004000,1006435,1004520006,MN22,POINT (-73.986484056615 40.730208582929)
99 CENT PIZZA,Brooklyn,1276,FULTON STREET,11216,3472952882,Pizza,2/13/2023,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,13,A,2/13/2023,4/22/2026,Cycle Inspection / Re-inspection,40.6803918,-73.94984896,303,36,024700,3053722,3018600053,BK61,POINT (-73.949848960024 40.680391802779)
DELLAROCCO'S OF BROOKLYN,Brooklyn,214,HICKS STREET,11201,7188581010,Pizza,1/23/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,1/23/2023,4/22/2026,Cycle Inspection / Re-inspection,40.69501313,-73.99596468,302,33,000301,3002039,3002470035,BK09,POINT (-73.995964675412 40.695013134711)
CROWN FRIED CHICKEN,Queens,103-02,SPRINGFIELD BOULEVARD,11429,7187361342,Chicken,12/27/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,12/27/2024,4/22/2026,Cycle Inspection / Initial Inspection,40.71305244,-73.73591883,413,27,054000,4239383,4111100001,QN34,POINT (-73.735918832829 40.713052444715)
El PUNTO RESRAURANT & BAKERY,Queens,18-27,COLLEGE POINT BOULEVARD,11356,3472564333,Spanish,12/10/2025,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,12,A,12/10/2025,4/22/2026,Cycle Inspection / Initial Inspection,40.78295898,-73.84585846,407,19,092500,4098829,4041280009,QN23,POINT (-73.845858456803 40.782958979436)
ANTOJITOS DEL MANGU RESTAURANT 3RD,Bronx,3531,3 AVENUE,10456,9173455732,Spanish,12/11/2023,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper. Surface not easily cleanable, sanitized and maintained.",Not Critical,7,A,12/11/2023,4/22/2026,Cycle Inspection / Initial Inspection,40.83146574,-73.90565218,203,16,014500,2091169,2023730043,BX01,POINT (-73.905652175995 40.831465743147)
